VehicleMake,Total,Pass,Fail,Fail percent
ALFA ROMEO,3259,1298,1961,60.17183185
ARDAGH,12,0,12,100
ASQUITH,2,1,1,50
ASTON MARTIN,58,36,22,37.93103448
AUDI,62557,30555,32002,51.15654523
AUSTIN,274,71,203,74.08759124
AUSTIN ROVER,4,2,2,50
BADSWORTH,2,1,1,50
BEAUFORD,20,8,12,60
BENTLEY,124,53,71,57.25806452
BINZ,7,7,0,0
BMW,58912,29440,29472,50.02715915
BRAMWITH,1,0,1,100
BRENCHLEY,5,3,2,40
BRISTOL,1,0,1,100
C I,1,0,1,100
CADILLAC,14,8,6,42.85714286
CARBODIES,5,4,1,20
CATERHAM,2,0,2,100
CHEVROLET,5181,1990,3191,61.59042656
CHRYSLER,1689,545,1144,67.73238603
CHRYSLER JEEP,2,1,1,50
CITROEN,26643,11669,14974,56.20237961
DACIA,139,113,26,18.70503597
DAEWOO,3178,902,2276,71.61736941
DAIHATSU,2753,1360,1393,50.59934617
DAIMLER,52,22,30,57.69230769
DATSUN,3,1,2,66.66666667
DE LOREAN,7,6,1,14.28571429
DENNIS,1,0,1,100
DODGE,185,49,136,73.51351351
DUFFY,1,0,1,100
FAIRWAY,9,2,7,77.77777778
FERRARI,47,30,17,36.17021277
FIAT,23679,9908,13771,58.15701677
FORD,169493,78645,90848,53.59985368
FSO,2,0,2,100
GMC,1,0,1,100
GOWRINGS,1,0,1,100
HOLDEN,11,5,6,54.54545455
HONDA,38502,19558,18944,49.20263882
HUMMER,7,1,6,85.71428571
HYUNDAI,44203,21642,22561,51.0395222
IMPERIAL,3,0,3,100
INFINITI,1,0,1,100
INTERNATIONAL,1,1,0,0
ISUZU,88,24,64,72.72727273
IVECO,3,1,2,66.66666667
JAGUAR,3877,1847,2030,52.36007222
JEEP,149,60,89,59.73154362
KIA,18877,10613,8264,43.77814271
LADA,1,0,1,100
LAMBORGHINI,3,3,0,0
LANCIA,37,20,17,45.94594595
LANDROVER,6266,2623,3643,58.13916374
LDV,2,0,2,100
LEXUS,6640,3796,2844,42.8313253
LEYLAND,61,18,43,70.49180328
LINCOLN,11,1,10,90.90909091
LOTUS,68,33,35,51.47058824
LTI,2,2,0,0
MAKE UNSPECIFIED,428,128,300,70.09345794
MASERATI,61,25,36,59.01639344
MAZDA,30441,15258,15183,49.87681088
MERCEDES BENZ,45343,21960,23383,51.5691507
MERCEDES/COMPASS,1,0,1,100
METROCAB,2,0,2,100
MG,494,147,347,70.24291498
MICRO-VETT,1,0,1,100
MINI,9183,4557,4626,50.37569422
MITSUBISHI,15416,6671,8745,56.72677737
MITSUOKA,9,5,4,44.44444444
MORGAN,18,7,11,61.11111111
MORRIS,1,0,1,100
NEUSON,2,1,1,50
NISSAN,108539,49728,58811,54.18421028
OPEL,87685,39739,47946,54.67981981
OTHER,4,1,3,75
PANTHER,1,0,1,100
PERODUA,55,44,11,20
PEUGEOT,63417,27005,36412,57.41678099
PORSCHE,1078,610,468,43.41372913
PROTON,15,1,14,93.33333333
REGENT,8,4,4,50
RELIANT,2,0,2,100
RENAULT,71355,29022,42333,59.32730713
RILEY,1,1,0,0
ROLLS ROYCE,54,25,29,53.7037037
ROVER,3488,1120,2368,67.88990826
SAAB,7705,3733,3972,51.55094095
SEAT,25211,11184,14027,55.6384118
SHELSLEY,1,0,1,100
SKODA,43832,23788,20044,45.72914765
SMART,507,264,243,47.92899408
SSANGYONG,693,153,540,77.92207792
STANDARD MOTOR COMPANY,1,0,1,100
SUBARU,3815,1822,1993,52.24115334
SUZUKI,19395,10239,9156,47.20804331
TALBOT,1,0,1,100
TATA,6,0,6,100
TESLA,2,1,1,50
TIGER,1,0,1,100
TOYOTA,228651,122327,106324,46.50056199
TRABANT,1,0,1,100
TRIUMPH,6,4,2,33.33333333
TVR,5,4,1,20
VAUXHALL,19475,8978,10497,53.89987163
VINTAGE MOTOR COMPANY,1,0,1,100
VOLKSWAGEN,182727,87515,95212,52.10614742
VOLVO,19430,9729,9701,49.92794647
WESTFIELD,1,0,1,100
YUGO,2,1,1,50
